feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7211	Age.category	D15	-0.301739521419629	0.239745509893166	201	201	0.209813279733115	0.336206821741016
NADSYN.PWY	Age.category	D15	-0.661039069791071	0.525632194920675	201	154	0.210149090938127	0.336294735097511
FASYN.ELONG.PWY	Age.category	Adult	-0.216375999366334	0.172463151053653	201	201	0.211264777948549	0.336729612788832
PWY.5651	Age.category	D15	-0.686265738701354	0.546766038355473	201	154	0.211041223464026	0.336729612788832
PWY.6404	Age.category	D15	-0.623722757507541	0.497084229388473	201	163	0.211177501966345	0.336729612788832
CATECHOL.ORTHO.CLEAVAGE.PWY	Age.category	D15	-0.576898879178658	0.460174003935759	201	182	0.211595189779217	0.336807768837397
TRPSYN.PWY	Age.category	Adult	0.490032905713324	0.391142949833044	201	201	0.211926632294407	0.336887355718997
HSERMETANA.PWY	Age.category	Adult	0.494807377402295	0.395867326905204	201	201	0.212970469524509	0.338097681725248
HEME.BIOSYNTHESIS.II	Age.category	D15	-0.372487645199029	0.299595269719147	201	201	0.215388094878358	0.340580646723111
PWY.6572	Treatment	L. kimchicus	0.388192741853622	0.305587295296625	201	29	0.21537402666452	0.340580646723111
PWY0.42	Treatment	L. kimchicus	0.979431347405399	0.77178215181952	201	191	0.21527557254531	0.340580646723111
P341.PWY	Treatment	L. kimchicus	1.07174368303756	0.845044754224184	201	76	0.217056663434532	0.342766261386722
P281.PWY	Age.category	D15	-0.64501821870311	0.521886867613551	201	175	0.218088599011085	0.343646514753195
PWY.7392	Age.category	D15	-0.296946585681206	0.240307869969068	201	201	0.218188263335362	0.343646514753195
ARG.POLYAMINE.SYN	Age.category	D15	-0.390320662379903	0.316448298837024	201	196	0.219028674690452	0.34451685099142
P108.PWY	Age.category	Adult	0.541849691464078	0.439639287320111	201	200	0.219401599979653	0.344609608019258
PWY.7323	Age.category	Adult	0.484970776963008	0.393709473052468	201	201	0.219663434351457	0.344609608019258
PWY.6182	Age.category	D15	-0.584473218374492	0.475610115878006	201	177	0.220718518885026	0.34581160615887
PWY.5971	Treatment	L. kimchicus	0.879730000150265	0.703025168229332	201	194	0.221625060020058	0.346778035090208
PWY.5507	Age.category	D15	-0.609564546268888	0.497737709444745	201	140	0.222268203738845	0.34733033926292
MET.SAM.PWY	Age.category	Adult	0.390573376960402	0.319779997179079	201	201	0.22355903464697	0.34798460919691
PWY.5180	Age.category	D15	-0.46800794122744	0.383118975548458	201	197	0.223468163094711	0.34798460919691
PWY.5182	Age.category	D15	-0.46800794122744	0.383118975548458	201	197	0.223468163094711	0.34798460919691
PWY.6396	Age.category	Adult	0.678525121313478	0.557568060126858	201	193	0.225246064880812	0.350155246314716
PWY.4361	Treatment	L. kimchicus	0.849120232075168	0.685448143688524	201	157	0.226819390461771	0.352143722934812
PWY.5347	Age.category	D15	-0.287942432139592	0.238129372219225	201	201	0.228179101795261	0.353795835296538
PWY.6185	Treatment	L. kimchicus	1.00843371224851	0.819779657259198	201	165	0.229365481442533	0.354734648447651
PWY.7374	Age.category	D15	-0.617303457092623	0.511867081402092	201	172	0.229377291477428	0.354734648447651
PWY.6467	Treatment	L. kimchicus	0.860375754506907	0.699721334753787	201	198	0.229677861596609	0.354741161717601
DHGLUCONATE.PYR.CAT.PWY	Age.category	Adult	0.811141798594252	0.674469529125077	201	92	0.230688942585798	0.355179360406556
PWY.6071	Age.category	Adult	0.782018191310715	0.650121789783862	201	178	0.230606216866406	0.355179360406556
PWY.7527	Treatment	L. kimchicus	1.05807348617319	0.861769005846446	201	156	0.230851748033668	0.355179360406556
DAPLYSINESYN.PWY	Age.category	D15	-0.284004574218562	0.236651061365733	201	201	0.231683643382322	0.355235061389239
HOMOSER.METSYN.PWY	Age.category	Adult	0.422406122811355	0.352403388660516	201	201	0.232266429713711	0.355235061389239
PWY.7323	Treatment	L. kimchicus	0.649659190466746	0.530561217390134	201	201	0.232371807074164	0.355235061389239
PWY4FS.7	Age.category	D15	0.0756353376884761	0.0631139886546685	201	201	0.232356500434717	0.355235061389239
PWY4FS.8	Age.category	D15	0.0756353376884761	0.0631139886546685	201	201	0.232356500434717	0.355235061389239
PWY.7046	Age.category	Adult	-0.747173776075683	0.624998702030314	201	74	0.233498471266833	0.356047987396687
