feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K14257	Age.category	D15	-0.794845656534617	0.468350832349083	201	87	0.0913725608394758	0.238787458456855
K16435	Age.category	Adult	-1.1116703622323	0.654899825717509	201	89	0.0913508824951518	0.238787458456855
K01756	Treatment	L. kimchicus	-0.122167508404034	0.0695321249497795	201	201	0.0914076265304702	0.23880423508
K07655	Treatment	L. kimchicus	1.50836837801428	0.858088586938738	201	175	0.0914242060778666	0.238816010119154
K09990	Treatment	L. kimchicus	1.46404287297287	0.834956136445232	201	190	0.0915130802566019	0.239016603331938
K06412	Treatment	L. kimchicus	1.51400201654203	0.863668200579278	201	192	0.0915539805748741	0.239091860558701
K08166	Age.category	Adult	1.17287523377165	0.691426050057789	201	150	0.0915779131494297	0.239122792756338
K01822	Treatment	L. kimchicus	1.49267579956475	0.850419790543492	201	179	0.0916134865270857	0.239184108549401
K01740	Age.category	D15	-0.57129549152027	0.336853032037072	201	201	0.0916324585141913	0.239202071038233
K07304	Age.category	D15	0.24515069822016	0.144574817703621	201	201	0.091646322037317	0.239206695150047
K00042	Age.category	Adult	1.03070322051972	0.607804777952942	201	198	0.0916830897886657	0.239257223513055
K00450	Treatment	L. kimchicus	1.42695195316395	0.814315823400244	201	177	0.0916898701573384	0.239257223513055
K03658	Age.category	Adult	1.41764243159635	0.836059588392918	201	153	0.0917020350833086	0.239257406755211
K01485	Age.category	Adult	0.95029609294075	0.560475123952207	201	200	0.0917205916961954	0.239274264134793
K14475	Age.category	Adult	1.07841377078581	0.636047302908553	201	136	0.0917331221076905	0.239275398409063
K00261	Age.category	Adult	1.11740516024809	0.659095355993895	201	189	0.0917743647598964	0.23935141511935
K00951	Age.category	Adult	-0.106022325643265	0.0625638835406798	201	201	0.0918932394191547	0.239598268378769
K16868	Age.category	Adult	1.40494648248963	0.829088248983875	201	157	0.0918849085111569	0.239598268378769
K01032	Age.category	Adult	1.05291300744573	0.621347257886391	201	180	0.0919204357541715	0.239637593580525
K16148	Age.category	D15	-0.663782940745074	0.391771138681618	201	200	0.0919411966491095	0.239660133365751
K00255	Treatment	L. kimchicus	1.52141213445026	0.866349547255162	201	180	0.0920049234108535	0.239794650186232
K03297	Age.category	Adult	0.856152686724119	0.505457139949826	201	200	0.0920690360633802	0.239930137189539
K03321	Age.category	Adult	0.73752359661724	0.435482618527864	201	201	0.0921093604146932	0.239950661513522
K06167	Age.category	D15	-0.710706051700995	0.419669230677948	201	194	0.0921015585880783	0.239950661513522
K11083	Age.category	D15	-1.05387098132268	0.622448346103868	201	141	0.0921133011593211	0.239950661513522
K00674	Age.category	D15	-0.600385777985467	0.354560505359355	201	201	0.0921393334096914	0.239955278239931
K07054	Treatment	L. kimchicus	1.34983835957891	0.772199071328635	201	201	0.0921381064685945	0.239955278239931
K14159	Treatment	L. kimchicus	0.988748988127244	0.566358167579036	201	81	0.0922107148869029	0.240109564550838
K01184	Treatment	L. kimchicus	1.22430996156633	0.70202683416284	201	105	0.0922231288082932	0.24011028350693
K12423	Age.category	D15	-0.835998496389847	0.49392165289805	201	162	0.0922583170803166	0.240170289312123
K10546	Age.category	D15	-0.6921435729086	0.408936097773586	201	195	0.0922732359585417	0.240177520227878
K11212	Treatment	L. kimchicus	1.4211597938298	0.811722933239459	201	197	0.0922889356330543	0.240186781304181
K04090	Treatment	L. kimchicus	1.56132485683966	0.893526050393678	201	192	0.0923585533380325	0.240255931358475
K05917	Treatment	L. kimchicus	1.38724242783378	0.791920322552878	201	177	0.0923585817929299	0.240255931358475
K08281	Treatment	L. kimchicus	1.25504783253284	0.718241924461494	201	201	0.092345316309902	0.240255931358475
K09706	Treatment	L. kimchicus	1.51969880017622	0.868709074483195	201	135	0.0923640864412699	0.240255931358475
K00245	Age.category	D15	-0.905149852939156	0.535043919430781	201	179	0.0924043401977301	0.24032903731153
